14342	17655	599	2886	3301	11868	6429	1634	3282	3585	4978	5444	17987	14144	11290	16431	18653	4240	448	5951	7275	18300	7703	3673	887	17035	4819	10756	17180	11771	10715	8902	14492	13701	710	13252	6794	7259	3549	8226	11601	6641	8272	43	18639	19335	15663	18620	5901	3882	195	4811	1978	1722	9018	8556	16796	12768	10151	18475	2250	14343	19071	16059	7815	16346	1573	17999	3953	15089	4686	16937	13544	19761	5685	10864	8851	417	7157	10221	13298	8438	15133	18860	5170	17375	7873	19557	1395	10747	11189	1019	12124	10698	14133	8442	1522	13466	13583	3232	16634	16020	1628	5074	15834	20011	11244	6862	1005	17839	17354	20058	6672	397	525	9556	15961	11079	18687	19263	9308	2656	17150	5621	15292	3603	19593	7892	13663	14914	1751	521	19243	5949	12069	7898	11602	12964	19023	8122	19509	9626	16913	19174	16815	12668	3938	18284	918	9974	18102	1947	4980	9587	6465	4635	6019	14589	3651	19366	2108	11569	3679	12807	15059	19321	16728	15151	19151	19516	12749	2595	7111	10923	4300	1737	3729	15442	13589	1622	5336	7902	6811	13944	3026	19747	16562	590	13359	9118	9086	12149	17302	2012	19268	14410	3497	18319	7377	12451	9760	15293	3357	5369	5990	6205	9871	7379	294	10464	8239	14917	2079	17008	1708	15722	19880	2909	13753	2213	13541	15936	4593	9559	9409	3805	13969	13717	843	7183	5114	11969	11539	17583	13303	7642	17875	15093	5952	1597	7288	8975	15981	601	7086	8356	11321	16153	5223	17490	7145	1711	15518	7375	4879	10029	8881	10992	15554	18913	9924	18581	13738	9218	11436	12507	16941	2851	12826	20161	9169	7255	14890	2458	13460	19864	16461	10414	7407	882	19644	2210	11587	4221	7946	17007	12471	19679	19700	8855	19439	16541	17269	2961	15335	5718	4596	2819	15784	18981	11728	11224	2809	19143	18544	16130	4225	10898	65	865	17734	143	15213	2418	11901	5486	18625	3147	8411	15026	12078	5760	16986	5784	10577	9145	7054	5482	17390	17145	12698	6438	17293	6305	5729	8792	2455	15809
15130	2668	13469	1724	20163	12376	9167	20036	5925	10492	9471	17857	18602	18233	6854	8604	1090	10145	15002	14714	5193	15101	5483	5450	3116	10256	13303	7758	14903	16182	8959	15618	901	3534	18713	16112	963	7655	1722	2532	17688	3819	239	39	2575	19796	17858	6869	9407	14791	14959	7872	18503	4997	1311	13544	20055	17971	1957	3385	4334	18098	18090	3412	19184	3969	16655	5223	547	2537	12822	13882	19581	17926	19180	10243	1292	9276	14728	3716	9330	7443	6067	5942	8020	6153	10859	2570	5107	18945	18904	11371	12015	13741	14781	10588	14618	20011	16107	18144	18813	17814	5935	3357	4276	8643	10874	14309	9908	11201	13968	4824	10254	10584	871	7192	9495	8036	18639	15845	15984	284	15064	13202	2026	4050	12300	4067	7929	15482	18962	15849	2899	17146	9408	3042	972	16393	13984	1110	15746	14504	2621	4337	9041	10891	14631	924	8263	299	19980	15530	6030	4702	3900	13998	16006	5570	19434	7962	14334	8725	8128	5621	14809	19399	14265	13856	9228	7815	4622	3600	17851	1780	6217	6056	14153	15760	408	14221	16913	4903	15043	8362	1815	13064	9687	15158	19205	7763	1460	5015	3684	9399	8660	1979	16183	8503	17649	6843	6466	28	10332	8856	11531	18612	3651	15977	164	6281	16232	19163	7674	604	8092	12610	6284	4188	9594	15568	15277	15716	15233	14701	18875	15415	9279	13896	11144	5326	19504	17608	2254	440	19250	3801	12760	16773	18458	19535	3181	697	2598	20174	1966	18209	15661	4271	17720	5082	16049	6574	16687	347	2779	6829	20116	15316	7375	15712	10280	17859	13682	8019	5860	2426	12010	7696	8350	12736	10653	11419	13224	1198	18541	5655	4052	18659	1336	15122	14203	16624	18544	18088	12698	942	17557	11440	7870	10462	19100	1850	17244	2455	5763	10577	19378	6261	8646	3687	5204	3155	8706	8395	10002	19991	7074	5743	19763	12078	6438	2419	10672	10488	18799	975	17206	5264	9377	4991	7072	5269	1744	2427	12168	14992	13964	1191	11643	15809	15524	1305	11224	12098	10654	20016	11878	19780
19460	8039	19409	1112	6966	5703	6901	18522	17967	7232	15617	19355	12307	2560	4948	14323	1991	3506	9747	17609	815	13289	7197	16442	5459	5071	152	11285	1506	11313	19357	1121	17610	974	7784	8707	10119	6251	6644	372	13478	17779	17184	8247	19718	14971	6469	8357	9142	9925	7532	14592	3881	5429	6196	18526	7375	2935	20026	13102	18036	18633	1052	2588	4147	18152	6791	17396	18323	16192	19131	13778	16224	15165	18355	19720	10324	9097	15945	9001	5367	1115	224	16112	11301	6783	7768	178	13890	1690	13777	3185	10037	12173	2012	1752	16815	15392	9067	15332	714	10477	16145	1126	10148	10631	9999	8831	15635	1586	15301	11779	1734	19369	442	12390	19139	10637	1596	13470	9340	8572	8092	12043	6037	10139	19664	16587	19830	10458	19613	19411	5932	18982	3229	15567	6221	13948	5564	16191	2546	16709	8233	7275	17183	16989	11770	6304	17702	13042	15608	9912	18091	9014	2620	4095	967	664	427	6243	13750	2542	339	10801	17432	2553	13986	7752	4055	12006	17203	16796	3673	8773	14675	4804	15198	7918	11870	4552	7353	2041	5026	6432	7631	4511	5275	7125	3314	13511	18516	18005	3471	9418	18453	17430	17902	3524	14959	9443	17855	11039	15632	14764	5995	8099	13532	745	12941	4337	4810	5166	8094	14411	14479	2186	14097	16848	2746	2069	8719	18766	11487	3271	16995	10353	9932	12590	8516	17659	16715	17651	5475	459	16493	3723	14910	15440	6952	8161	6838	14391	18212	7200	2737	18302	2744	5364	14609	5598	3289	6392	12090	5922	11139	18538	18333	14030	16239	17588	1616	4550	10611	10329	16054	7740	5742	8813	9576	5172	682	12187	19496	2088	8035	6698	8574	12784	12098	12821	2872	2953	16964	13446	2819	7398	5847	6646	10708	10389	18455	19842	12168	865	19991	7054	5862	16686	15018	11560	5743	17077	15026	4991	15524	15773	10462	17390	4741	10002	13568	3148	11728	1191	10080	5054	5482	65	16591	975	1744	13818	15246	16624	12921	17142	11137	13862	19700	19679	12598	9229	11587	14203	8411	10594	12750	12698
1373	12334	10644	17600	16485	10612	9798	18099	14868	12541	7699	9044	300	9799	15594	6412	3318	3785	9314	12389	2877	3972	6715	3797	10859	1858	2813	18604	7553	1065	5962	16028	19632	13616	6431	17784	14834	582	1135	19087	15778	11	448	11247	20191	15543	670	15173	3913	8574	2547	14101	1293	14444	5856	5056	4859	8909	10990	17448	17520	17051	17365	11485	18708	19602	9359	5943	2962	2657	16270	774	5823	3681	2913	2069	2882	688	1651	14552	4803	13673	10811	4202	11839	9447	14182	16241	13980	16472	6842	19532	3407	11552	12320	18037	8545	18249	14315	2171	8099	698	11944	14861	12486	13863	7536	8371	15137	1768	16086	10997	10303	712	13118	10922	4645	11785	8633	11119	8233	9725	7237	10552	8092	7041	12124	14742	12276	17677	14581	15530	10901	811	1276	14598	18774	12281	8548	14719	8696	5159	5492	8310	1948	7145	3696	9896	12129	245	13225	15717	19401	16933	19445	2709	18608	1159	18188	12103	17502	10716	3094	3080	619	18552	18013	3610	2542	19017	3223	19187	7255	1195	12	9518	14496	3705	3017	13463	1636	15600	8680	3776	6596	7594	13540	13582	17296	18072	10961	7734	4072	4772	9474	5782	5706	4885	3341	600	6520	16817	12944	18756	19556	450	10923	2856	13901	14589	9697	258	8250	9766	16337	5952	4541	15191	14770	8499	5210	12403	2576	10147	17381	4751	8662	11764	6220	6561	8516	1189	19123	7459	8552	8750	4348	9213	19114	16471	244	20098	11518	14668	9536	19656	7256	16255	7284	834	17358	1637	10774	14964	12088	6872	2682	4689	5916	12122	7534	12534	1105	17097	4173	8023	14406	10024	14998	6500	644	13590	161	18117	12634	6246	11688	3025	2455	10708	12078	16686	5785	13286	14645	2953	12330	10238	16329	11265	8411	4587	12521	19754	2419	4213	3148	4262	16772	10616	1706	13092	7231	3221	12681	7987	16986	15701	19840	1667	13952	2671	11901	9476	19644	6616	15246	12374	1731	13964	1435	12774	17399	19590	7884	8395	14360	19517	18067	2638	15108	8706	15298	18065	4700	4070	14203	17206
2015	16506	9654	17826	4232	1420	7291	5435	13372	10659	2344	11756	18941	18380	18998	4811	12570	13610	4354	7083	11467	6235	12955	16358	20073	8504	3647	20118	11816	13656	162	7235	11389	13605	2009	17305	16478	13581	16760	8870	2431	20009	7220	12610	4535	6969	2270	15600	594	10187	13690	12253	15475	12980	3023	4336	18615	14371	4255	12862	12056	919	17228	8002	18698	13925	9027	12185	8935	1018	19309	913	12866	1780	15133	14229	15038	14667	16072	113	1406	14978	10145	3164	2138	19095	9048	1431	20208	14411	8200	10642	16263	4279	582	11755	12727	11094	17723	11917	6676	3086	13595	10343	9560	16766	14871	5402	6740	6637	16717	17334	8944	749	9918	618	15939	19078	4924	14077	1072	18261	6946	14345	9278	158	12232	17858	10502	5075	9238	3924	9502	2068	2611	5638	4871	411	9231	20086	16187	9969	7027	15278	16231	17812	20061	12647	19079	1281	6565	17083	18739	4778	16314	2586	13328	1402	15071	558	10237	8725	6586	4601	1261	6284	15262	2398	19696	19632	13022	9541	10805	5733	5155	2342	15354	10997	13569	18038	13238	11438	19759	4415	17231	17941	9518	10193	8154	4526	15253	18841	15440	17442	15950	13741	5900	18387	15622	2190	19613	980	19086	3954	7729	18402	18066	5901	16703	5438	19255	3381	81	5043	689	17400	10842	11821	12532	13417	1720	2003	18992	5633	19107	11896	17469	3373	6999	15891	7796	18068	8053	3055	16235	15449	12518	17407	3521	16516	10959	13152	3465	13424	7217	12606	16597	8858	7334	18006	141	14047	11247	7500	7733	4759	12198	18379	15142	9751	4953	4365	19005	14265	15519	14935	18097	2536	8672	4332	18134	4341	13657	16359	12957	4812	5818	14454	6832	10488	1744	8792	5486	1926	4134	379	4229	182	2842	6889	11802	17512	11521	10442	11728	4096	10238	12821	17390	418	4789	6616	5264	19644	19590	10578	4323	19842	10080	2996	12774	8646	13573	7398	616	8886	3074	2809	4197	16964	18625	2427	10708	8100	13892	16541	19143	13759	2638	12565	5269	13762	3687	17244	3027	2961	6419	15335
19336	1594	9660	14009	3083	8475	19824	1174	2169	11966	13992	13067	5007	2412	4646	7945	6166	14893	7109	3830	15282	3043	19411	9710	2399	17642	3131	7765	15896	10344	5616	18286	6165	2550	12776	11885	15353	10460	16841	19729	9772	11333	11209	4021	5983	13881	7312	15055	1734	19521	14672	6753	7067	16946	8273	6795	15249	3332	6775	9423	978	2630	8461	10874	18948	12560	15336	16027	4050	8882	4240	1319	17672	16762	6584	1854	2240	6180	3839	6153	16555	4117	20076	2548	8015	2374	3787	13822	11249	18199	928	17494	18320	19658	2087	6929	2435	4032	4804	16937	1237	17208	17085	8953	11300	2035	13815	2492	16122	4705	19696	17882	13347	6705	15770	4585	11707	11770	1381	6827	14235	17804	19912	17341	3086	6206	5280	4133	11764	13524	18151	15493	7346	14781	16192	11366	18647	2118	2472	9735	15980	17904	2821	1949	6411	8209	10827	17371	12117	19576	8598	13386	267	14049	14315	5437	10147	11054	16523	1920	5254	2291	18422	171	5118	2034	14426	5756	15836	16653	1957	8246	19437	7566	5679	15849	4107	1847	14023	8404	4833	8018	13026	1903	5090	8737	788	11361	10431	13114	7573	1147	18333	16496	3442	15405	13821	10937	2341	1135	7836	8711	6487	13379	3362	8724	10218	10923	14987	15554	18848	10024	13288	378	4020	6906	8149	8612	3484	10052	18371	19734	6976	9031	10087	6846	15078	17528	1202	1485	3480	9516	16595	14664	19459	16757	8713	11215	14151	4532	19715	12439	7239	2473	273	2659	4500	17740	14284	4386	8023	12434	5563	7768	5101	10806	11035	481	9298	2927	8645	4313	13102	19699	3499	15881	13658	326	10642	2079	4910	969	3702	15227	9014	15258	8349	16649	4891	19517	2210	5460	13952	5760	13092	12168	18343	10389	16686	18088	19754	14228	3504	7946	12648	882	182	8583	6057	2961	18625	6616	5743	1850	6537	4596	8411	4134	616	7245	17120	13762	15524	18981	3148	11587	2842	4229	10577	17390	19763	14226	15246	15671	19195	8100	16289	418	932	13107	1926	15195	15335	9496	16986	11227	7188	18067
1244	20201	18053	18170	8787	651	10955	14943	2995	5144	11169	10346	3256	3491	12536	13385	15589	16616	10822	17906	5024	5782	14354	7437	8851	16369	10694	15728	4344	11435	12672	7924	1665	4711	12138	14685	18409	12031	18309	17148	937	1641	15847	18192	2446	3668	1678	12747	11920	8001	11135	939	10729	5044	3377	19076	18972	14318	28	16860	19111	6989	14839	5518	16012	1550	9940	3271	3163	20172	12160	3637	6049	17033	19164	13322	7170	11124	1656	2321	10695	17481	15187	13207	7496	13889	5927	7527	11398	11891	18807	509	6108	15050	18992	2006	6723	7935	4706	20120	19777	3188	2369	1241	17333	5076	14118	250	1450	4223	8872	17009	20056	14580	3349	491	4475	10632	2375	7159	10418	13114	6179	13746	2931	16148	14977	1355	17665	17895	5450	12435	10873	5598	18453	3059	1408	2275	15652	2752	4379	5742	11014	20024	17920	9434	4845	8899	10070	8340	16354	652	7178	17812	1368	3480	15151	16562	7379	5650	7470	19039	10471	11157	4233	2143	17227	11785	17329	6713	18986	18898	9581	11625	13138	17971	15060	12055	17114	6172	17164	7902	19880	2604	7460	11419	7694	11431	6469	14876	9965	17489	18673	1020	16410	6971	16174	12321	11198	9006	8511	13623	14709	13238	3732	11399	18765	5022	4396	4119	3906	17606	8942	5852	2221	14874	11336	18382	12632	2376	3114	12705	2023	7720	2669	14374	14668	8549	9268	18646	19003	17070	18829	1800	2121	4468	2598	8295	7433	16584	18677	7696	5917	13105	10191	8035	4253	13753	16635	13038	20055	20047	13072	17493	10257	6686	19081	16670	12892	6464	15332	11892	14793	12064	3363	17615	5860	7662	2382	5986	18805	2593	12721	19268	17327	1625	15137	18498	19590	16541	4134	4225	3147	12521	4213	10389	18047	1505	15298	18799	1731	6183	15378	2555	19842	15795	15022	12017	18290	15122	11137	8583	3064	1706	6261	15766	14992	13759	19100	11265	15108	11897	11350	7085	9868	18544	5729	10654	10626	17843	12330	8886	5743	18092	11728	5460	3221	5847	18343	2872	7054	17206	11643	14203	17244	1191	18065	4991
6506	16233	20036	18307	13783	15086	3655	13318	13383	13742	14432	16897	6628	16076	20128	12057	13262	39	12710	20101	5961	6373	11615	10563	798	18016	19678	1518	2190	421	16851	6192	3086	11980	1800	15450	5304	659	15990	6083	10323	11586	12558	7527	17732	3339	8533	12716	9390	12021	809	14250	14323	1383	16965	14825	6067	17788	6034	12166	6149	9304	6238	465	15788	3859	7848	14568	11180	1301	13690	7973	6687	14139	3768	2990	14647	925	12660	13093	13863	19476	1246	8746	14628	1189	20164	383	6793	4880	4921	19455	7419	17720	6518	19445	9572	6467	17674	11954	19720	2853	17548	13980	16562	6171	14363	3876	12190	2906	8085	18998	5704	19997	7496	12295	14289	6542	9412	13669	16263	13914	17750	18474	7257	6219	2001	15471	6928	10903	776	16251	15942	11581	15929	16912	17996	6686	8810	11190	2783	16968	18834	269	16345	3220	18440	677	19264	18382	14368	19391	16981	703	19431	17979	19658	102	56	13010	7307	4752	12283	19128	10257	13963	11963	9465	19208	14911	5927	3311	16409	7564	11725	19110	13410	11558	10154	19875	3758	826	5018	19068	13672	5572	19564	9831	18837	2864	658	7528	5217	6629	17929	7018	16018	7521	9118	2174	4407	8195	15055	10254	2874	13558	9077	1365	3258	6094	2287	11695	6802	14904	6182	4771	15472	2295	13610	14454	14056	5039	11405	1679	15119	11950	1819	13	13185	12838	5067	463	15635	28	6009	12807	9432	14807	239	14366	19911	1031	3808	4731	1023	9822	3344	8471	11377	4707	14351	13524	3799	18734	15408	7313	13492	11483	5754	17346	11145	6715	12953	19237	6276	14173	5723	16983	2710	16975	409	15951	8773	5126	11200	19400	6975	16281	16686	13964	7490	3147	13573	10856	11227	65	942	15108	3027	14072	16986	11553	11901	10080	2953	6978	12521	7860	18981	13286	19679	8646	14360	6832	15246	932	15195	12078	1926	11137	19780	10616	16289	18460	11265	11897	9496	143	882	19842	14992	8100	17029	4587	16772	19435	18799	6616	12471	15123	13862	7946	12066	7250	15766	10002	2872	5729
1440	4724	13763	15170	4320	9528	13363	19269	9339	17331	10659	13292	13720	337	18272	4086	7454	19490	3961	14372	18190	9300	8956	10811	8183	280	18683	16091	15132	18752	4378	7010	5304	11331	17890	7893	7018	5290	11179	20014	6690	8403	13917	9362	8253	8816	806	5821	1276	18901	3642	5551	11819	19854	18885	5436	15412	2067	19871	9243	1708	1847	8173	6412	899	843	8910	18923	19556	19729	14444	10541	13824	3827	18400	10555	15421	18698	15473	4154	2821	4151	15842	17896	968	16756	18322	9986	11519	12215	6072	14121	12845	19434	8035	2031	8109	5583	8976	14220	12897	5197	18879	6905	15768	5056	5520	12504	2591	7336	2774	10569	10929	10748	15472	9627	18902	9716	17354	16258	4898	18768	7718	10742	11136	17981	17475	5047	1118	11434	13766	4190	15858	3404	2528	18563	4082	277	2426	11168	14787	11251	19495	19142	15629	11369	16221	14074	15357	16037	13603	15555	3629	680	16466	4542	9135	17859	3486	4370	3964	14589	8732	2432	17610	11135	5882	19224	16848	6742	12969	9950	12819	14755	5494	18516	3518	8959	1684	12347	16073	194	12319	19221	17561	17885	12277	17423	18494	8835	10891	6967	9376	11704	693	1824	174	14069	15740	9427	9686	15489	19169	19330	14642	4626	3456	12512	3103	9556	7385	8932	5930	5180	16956	2271	7207	8191	4723	13566	12187	13324	12746	373	12152	4457	17008	7386	10460	12586	5209	15992	464	13857	6432	7276	5964	11233	11101	2674	14756	89	9848	17163	17872	19237	2364	11267	19830	6353	4195	18454	14624	16637	8089	928	15942	5870	5037	716	11005	18506	17688	17323	14356	749	19898	6488	11586	8292	476	625	11921	10810	16564	6811	17224	17680	7340	13892	17557	13964	2996	18092	15809	19679	18008	15795	17145	5873	14348	1744	6057	744	418	16686	7946	13092	18428	18799	1336	12840	18938	5785	12681	10672	6701	17029	6978	143	3202	9476	8706	19435	13107	8792	18107	17709	5847	15022	4070	11137	7074	16289	12921	3720	5763	7072	12821	11878	11897	4596	12098	8734	12374	13563	18069	4229
2265	6534	6670	6866	5455	4895	15267	12307	3239	9339	1889	7024	5832	13934	5347	9504	8119	17607	5761	18777	1637	8499	997	6775	16712	11880	13122	10548	16047	10075	12439	2128	12998	15882	1045	3418	16165	20171	14048	2867	3620	5983	11531	10471	3465	19274	3703	3805	16356	17300	13999	15202	14585	7931	9590	19634	10210	8339	12897	16552	16413	5834	9307	13748	2159	15413	15477	704	16175	2660	14057	4264	15243	3526	15484	2491	13744	13370	12783	16309	5152	16281	19652	11193	10592	13397	8273	8162	15803	13913	646	1786	12860	16575	13922	12801	9830	15002	19996	1324	19538	13039	3976	4752	778	8025	9442	11800	15995	5211	8149	4452	9722	5930	1316	2986	9966	6260	11471	658	13957	5774	12802	7877	19656	13375	14630	2592	13238	5068	10413	19391	20114	6207	11796	17443	16366	15481	18096	8233	7137	19697	18250	9858	4337	14668	12643	15000	16127	1353	12964	17939	7956	1974	19162	2717	17854	14628	4223	17567	15441	6348	9346	15480	14258	18143	6381	6621	19907	13602	15759	14419	2719	14592	17096	11669	17780	6221	9838	6339	12176	17266	12094	14822	15171	12491	7854	17117	17553	6310	14719	15885	16823	5339	7886	15913	13061	3006	7184	16947	19750	3767	4280	15750	16608	11846	789	5884	13425	18511	11298	1997	1183	17991	517	11313	10827	12797	4263	12780	10905	5790	222	13111	12304	18837	4920	15255	1136	16917	16687	11268	9772	11611	12791	13228	2885	5503	6355	18404	14721	11093	12682	9418	4541	4465	11975	11065	13821	733	5599	10501	15896	13387	19115	11220	4316	16118	7664	3473	1437	7311	19330	18572	17224	5492	5399	7465	3085	17798	17947	1430	15324	8970	10598	9513	9360	14460	744	1320	19590	5763	1226	11587	6889	11137	7870	5729	17390	8734	5785	18460	1667	18938	13446	722	11374	4213	9476	14203	4789	17269	20016	10708	19780	4070	18625	2819	11878	12840	4221	14645	10462	4891	10654	13952	7884	13286	10389	19439	15453	17007	19000	9255	13568	15018	4617	18069	12750	1850	4134	1926	12168	9496	16624	3871	19842	2239
